Pipeline,Model,Train R2,Test R2,Test R2 Std,Test RMSE,Test MAE,Best Params
pipe4_target_enc,RandomForest,0.8388607019332662,0.7567075282186779,0.07458566822123017,0.35778796320825296,0.1780507194757095,"{'model__max_depth': 15, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}"
pipe1_optimized_scaled,RandomForest,0.8428513833078604,0.7553347434260601,0.0764752022238337,0.35860159961750354,0.18176727916758464,"{'model__max_depth': 20, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}"
pipe1_optimized,RandomForest,0.8410720298363143,0.7527166618104706,0.07525342987113641,0.3606692546649789,0.18203926488476904,"{'model__max_depth': 20, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}"
pipe2_optimized,RandomForest,0.835020122045863,0.7516013249692112,0.0698550050575965,0.36193269376430337,0.1811318583970869,"{'model__max_depth': 15, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}"
catboost_pipe,CatBoost,0.8587974944457109,0.7509368180065306,0.07228554298713775,0.36216804627771637,0.19757602787003326,"{'model__depth': 8, 'model__iterations': 500, 'model__l2_leaf_reg': 5, 'model__learning_rate': 0.05}"
pipe5_ratio_scaled,RandomForest,0.8407319619702973,0.749855043661132,0.07271523953489192,0.36296060390612433,0.17780376955010038,"{'model__max_depth': 20, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}"
pipe2_no_grouper,RandomForest,0.8369664814995019,0.7492086549602365,0.0665259190285734,0.36392084310479283,0.1791025528707515,"{'model__max_depth': 20, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}"
pipe2_optimized,HistGB,0.844943515712794,0.743766550722343,0.06768471276957279,0.3677659245542271,0.19629973499997927,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__max_iter': 500}"
pipe2_no_grouper,HistGB,0.8345015067581096,0.7423216082660001,0.06639539970187965,0.3690039034592207,0.19498639232707,"{'model__learning_rate': 0.03, 'model__max_depth': 8, 'model__max_iter': 300}"
pipe5_ratio_scaled,HistGB,0.8454944059121152,0.7418746853599281,0.07457671498347639,0.36882244794054503,0.19573811279504036,"{'model__learning_rate': 0.03, 'model__max_depth': 8, 'model__max_iter': 300}"
pipe4_target_enc,HistGB,0.8332832155971983,0.7403446613763955,0.06629440404726508,0.370350385028323,0.1966273230272258,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__max_iter': 500}"
pipe1_optimized_scaled,HistGB,0.8140439678695419,0.7361944076684586,0.07419431862834756,0.3729923519968314,0.20265127064134975,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__max_iter': 300}"
pipe1_optimized,HistGB,0.8303746081104156,0.7318240712864241,0.07234995042942653,0.37619607955037976,0.20307605951849167,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__max_iter': 300}"
pipe1_optimized_scaled,XGBoost,0.8686947272980394,0.7312203868220224,0.05283121684682339,0.377497380425197,0.19637374475793173,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 300}"
pipe1_no_scaling,XGBoost,0.8618346681071379,0.7308765431877617,0.06919533432208541,0.37647870119530247,0.20968363483506242,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 300}"
pipe4_target_enc,XGBoost,0.8545141303948489,0.7252730932985705,0.07903528437476827,0.37984901230436297,0.18423674072073745,"{'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__n_estimators': 300}"
pipe2_optimized,XGBoost,0.8570756100074617,0.7208300945815165,0.07985298461042356,0.38320565143251584,0.18428167118369904,"{'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__n_estimators': 300}"
pipe1_optimized,XGBoost,0.866176567532019,0.7167683629458418,0.04510031867999381,0.38773008297329914,0.19842526363835897,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 300}"
