Pipeline,Model,Train R2,Test R2,Test R2 Std,Test RMSE,Test MAE,Best Params
pipe4_target_enc,RandomForest,0.8343834600035404,0.7720780014305193,0.0668831742561178,0.33723233844461464,0.16805289165624257,"{'model__max_depth': 15, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}"
pipe2_no_grouper,RandomForest,0.8464695401759099,0.7697152770125462,0.05940616798359351,0.3395453235004255,0.1672550643129357,"{'model__max_depth': 20, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}"
pipe2_optimized,RandomForest,0.8376156088256282,0.7660238968652642,0.06813570346748388,0.3416912340532295,0.16990207672397087,"{'model__max_depth': 20, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}"
pipe1_optimized,RandomForest,0.8511158429904558,0.7607140271505219,0.07638432967488946,0.34508625194597525,0.17081613150840874,Loaded from cache
pipe1_no_scaling,XGBoost,0.8733002957060277,0.7578538271668398,0.06634975601359651,0.3479058910580476,0.18539684750069643,Loaded from cache
pipe1_optimized_scaled,RandomForest,0.8284618290863467,0.7559999953749483,0.07720135024913666,0.3485701007916691,0.17337092484831831,Loaded from cache
pipe7_rare_moderate,RandomForest,0.8411818462050252,0.7557624878633475,0.06788642500705197,0.3493186378997767,0.175899321650425,"{'model__max_depth': 15, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}"
pipe6_poly,RandomForest,0.8621827793106631,0.7553823476698092,0.07894188863546832,0.3487793234136284,0.17289017395076,"{'model__max_depth': 15, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}"
pipe3_with_grouper,RandomForest,0.8434344233694062,0.75369542113581,0.07742439915245455,0.35000832402816834,0.1713778777510498,"{'model__max_depth': 15, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}"
pipe2_no_grouper,HistGB,0.8230740895397405,0.7521899850960088,0.062022158842314795,0.352214861111814,0.18457401952066724,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__max_iter': 300}"
pipe4_target_enc,HistGB,0.8283437636961575,0.7518203957889996,0.05626456110613497,0.35284130713394335,0.18587357452347245,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__max_iter': 500}"
pipe5_ratio_scaled,RandomForest,0.848307191198165,0.7517298796944114,0.06620147846339411,0.351841786064223,0.17042731417726217,"{'model__max_depth': 20, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}"
pipe3_with_grouper,HistGB,0.8203037030302885,0.7486681138541726,0.07656529440227515,0.3538941756941472,0.18683565417067163,"{'model__learning_rate': 0.03, 'model__max_depth': 8, 'model__max_iter': 300}"
pipe6_poly,HistGB,0.8314476170097143,0.7483157474202995,0.06700446562667536,0.3548852496877845,0.19173802564844908,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__max_iter': 300}"
pipe5_ratio_scaled,XGBoost,0.8794748830686958,0.7470458214971794,0.06530459369164614,0.3559805519105087,0.18166734547276714,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 300}"
pipe2_optimized,HistGB,0.8297108432586636,0.7466665856663142,0.06500560798051656,0.3558643977369672,0.18572332168105715,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__max_iter': 300}"
pipe3_with_grouper,XGBoost,0.8658993793749437,0.743610770331107,0.08161555532372122,0.3571302257184892,0.1834206164008192,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 300}"
pipe7_rare_moderate,HistGB,0.8004130947806359,0.7435709035406933,0.06969851612722806,0.358176498822476,0.19375557873176183,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__max_iter': 300}"
pipe1_optimized,HistGB,0.8279188847248624,0.7388471999844894,0.07504238872775822,0.3609471497266118,0.18887182244294987,Loaded from cache
pipe5_ratio_scaled,HistGB,0.8391525198180405,0.7380354164259051,0.07044869381454989,0.3619477402974117,0.18356498759133402,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__max_iter': 300}"
pipe1_no_scaling,RandomForest,0.8506840441310702,0.7360148734787256,0.0697166881920434,0.3634614406709729,0.18566526783401596,Loaded from cache
pipe4_target_enc,XGBoost,0.8618092834443212,0.7329892650046405,0.08220289757980931,0.36452394930715915,0.18282446409233716,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 300}"
pipe1_optimized_scaled,XGBoost,0.8858034212324828,0.7312768468661031,0.06287321673998697,0.366715601726515,0.1853311568859121,Loaded from cache
pipe1_no_scaling,HistGB,0.7769110608310836,0.7246936219918745,0.0595824378714527,0.37198180198849073,0.20163978066156898,Loaded from cache
pipe1_optimized_scaled,HistGB,0.8436591640508289,0.719665279176288,0.08594917616143025,0.3735237700500269,0.18914234213247752,Loaded from cache
pipe7_rare_moderate,XGBoost,0.8887705652418585,0.7183045555873325,0.054761080959927114,0.3763989312684536,0.1833392345041358,"{'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__n_estimators': 300}"
pipe6_poly,XGBoost,0.9078955171027967,0.7129739297955634,0.08263061936945541,0.37668833308453575,0.18646783866713318,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 300}"
pipe1_optimized,XGBoost,0.888817110222522,0.7076121518116905,0.061314746063694504,0.3822889670504243,0.18663812437316324,Loaded from cache
pipe2_optimized,XGBoost,0.8356249940071507,0.6922394883749963,0.11697194120504348,0.38965631076082274,0.17941929358778608,"{'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__n_estimators': 300}"
pipe2_no_grouper,XGBoost,0.8564934078955366,0.6445146448663304,0.18042810466982293,0.41043389277628295,0.18022275242274582,"{'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__n_estimators': 300}"
