Pipeline,Model,Train R2,Test R2,Test R2 Std,Test RMSE,Test MAE,Best Params
pipe1_optimized_scaled,RandomForest,0.8420893031161043,0.761145945580713,0.07748073559725964,0.3540638216752866,0.17827481857392827,Loaded from cache
pipe4_target_enc,RandomForest,0.8382987403227119,0.7606816048956014,0.0767057347453117,0.35463809895804366,0.1761461665175184,Loaded from cache
pipe5_ratio_scaled,RandomForest,0.848570089671205,0.7592782331826236,0.07312642170175015,0.355923792203802,0.17537856047609635,Loaded from cache
pipe2_no_grouper,RandomForest,0.8409971660418458,0.7589694396626847,0.0727893771435397,0.3562178707122234,0.1759165979913117,Loaded from cache
pipe2_optimized,RandomForest,0.8490083473287374,0.7580143268944265,0.07638940609422025,0.3566343306516339,0.1771533188237798,Loaded from cache
pipe1_optimized,RandomForest,0.8421978824720251,0.7538770047514224,0.07558591337090735,0.35982666552877124,0.18166494743160783,Loaded from cache
pipe7_rare_moderate,RandomForest,0.8397857505212286,0.750995772397902,0.07754299314607596,0.3618272706177824,0.18072110428943314,Loaded from cache
catboost_pipe_nogroup,CatBoost,0.8587974944457109,0.7509368180065306,0.07228554298713775,0.36216804627771637,0.19757602787003326,Loaded from cache
pipe3_with_grouper,RandomForest,0.8304837469295847,0.748936902535141,0.07562078733528987,0.363529521757501,0.18391618580035324,Loaded from cache
pipe2_no_grouper,HistGB,0.8358377171539099,0.7467911188972962,0.06972133484376752,0.36542149858121264,0.19560033056849552,Loaded from cache
pipe6_poly,RandomForest,0.8572197179529727,0.7456111769619269,0.07361878583549052,0.3660142825013979,0.18551472142512884,Loaded from cache
pipe5_ratio_scaled,HistGB,0.8340902603918139,0.7439016897888792,0.0706389625189979,0.36755359771088464,0.19723484055942936,Loaded from cache
pipe2_optimized,HistGB,0.8435376797666928,0.7416497888820099,0.06954223773970306,0.36925843578508505,0.19795483763298866,Loaded from cache
pipe4_target_enc,HistGB,0.8308300360052245,0.7413843739701067,0.06798911793571416,0.3694881409217683,0.1968368571074692,Loaded from cache
catboost_pipe,CatBoost,0.8424612391193351,0.7399238441492495,0.0727161217117316,0.37011135460186956,0.20557986579191176,Loaded from cache
pipe6_poly,HistGB,0.8588219531215329,0.7371356297843474,0.07217283333858877,0.3723561532931588,0.20199186614670936,Loaded from cache
pipe7_rare_moderate,XGBoost,0.8741194390035197,0.7343521789234897,0.07255734501535384,0.3743951530993365,0.19833492244928858,Loaded from cache
pipe7_rare_moderate,HistGB,0.8156945685520407,0.7340311306997507,0.07258712186521772,0.374578167921575,0.2034833655663645,Loaded from cache
pipe3_with_grouper,XGBoost,0.8583824473201427,0.7338599508216456,0.06661442620792861,0.3750570075325392,0.19998656178908877,Loaded from cache
pipe1_optimized_scaled,HistGB,0.8292703087792704,0.7314487758857287,0.07028217813255165,0.3765157647627557,0.20351569193989313,Loaded from cache
pipe1_no_scaling,XGBoost,0.8618346681071379,0.7308765431877617,0.06919533432208541,0.37647870119530247,0.20968363483506242,Loaded from cache
pipe1_optimized,HistGB,0.8283114447500193,0.7292134065361215,0.07289161446104415,0.3780495969721372,0.2053500282238861,Loaded from cache
pipe1_optimized,XGBoost,0.8764423056716659,0.725975925426818,0.07358943124558855,0.380239633731093,0.19928727954221562,Loaded from cache
pipe3_with_grouper,HistGB,0.8219019909445965,0.7238673152933754,0.06462377850971845,0.38226750195760917,0.20554641363873022,Loaded from cache
pipe1_optimized_scaled,XGBoost,0.8910226926533804,0.7231259496825689,0.07926895906485065,0.3818122405840962,0.18935194428531746,Loaded from cache
pipe5_ratio_scaled,XGBoost,0.8804854743795769,0.7173141648080429,0.08102280331647158,0.38536616308896277,0.19503810042809247,Loaded from cache
pipe4_target_enc,XGBoost,0.8473075147919534,0.7161698131739368,0.0604202102002804,0.38768420660549385,0.19548937099336483,Loaded from cache
pipe6_poly,XGBoost,0.9032953252886362,0.7130806379863113,0.06530009988800695,0.38968814303010757,0.1909680160178934,Loaded from cache
pipe2_optimized,XGBoost,0.8737019857230353,0.7058573436902817,0.08045256581394211,0.3931507876319075,0.18714893641467295,Loaded from cache
pipe1_no_scaling,HistGB,0.7806085426395166,0.7042365926609591,0.06870805120468844,0.3953836625501509,0.2246942165246541,Loaded from cache
pipe2_no_grouper,XGBoost,0.8540414399497843,0.7004579339398374,0.06467759234356539,0.3979924621392615,0.19072193565346923,Loaded from cache
pipe1_no_scaling,RandomForest,0.8366419285150624,0.6982132480845371,0.07927019334418674,0.3990461854618446,0.21714713596129456,Loaded from cache
